                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.88372,                0.53704,                0.91344,                0.92155,                0.92323,                0.96423,                0.72734,                0.90545,                0.59124,                0.93566,              0.0094456,              0.0094456,              0.0094456
                     58,                0.88871,                0.55589,                0.91368,                0.92736,                0.91821,                0.95097,                0.71398,                0.93345,                0.61417,                0.95077,              0.0094357,              0.0094357,              0.0094357
                     59,                0.87717,                0.53833,                0.91495,                0.94761,                0.89129,                0.94162,                0.70663,                0.92216,                0.62807,                0.93701,              0.0094258,              0.0094258,              0.0094258
                     60,                0.86589,                0.53429,                0.91641,                0.93467,                0.88476,                0.94889,                0.69766,                0.92726,                0.62655,                0.94457,              0.0094159,              0.0094159,              0.0094159
                     61,                0.88027,                0.53355,                0.91772,                0.92245,                0.89408,                0.94076,                0.70128,                0.91775,                0.62671,                0.94142,               0.009406,               0.009406,               0.009406
                     62,                0.86133,                0.51817,                0.90796,                 0.9483,                0.86524,                0.94654,                0.70529,                0.94141,                0.60025,                0.95422,              0.0093961,              0.0093961,              0.0093961
                     63,                0.87515,                0.52941,                0.91543,                0.92086,                0.89434,                0.93773,                0.68885,                0.98077,                0.62964,                0.97107,              0.0093862,              0.0093862,              0.0093862
                     64,                0.86131,                0.52014,                0.90845,                0.94516,                0.91162,                0.94984,                0.70142,                0.96626,                0.62439,                0.94151,              0.0093763,              0.0093763,              0.0093763
                     65,                0.88043,                0.53011,                0.91405,                 0.9399,                0.89932,                0.94672,                0.70123,                0.92904,                 0.6005,                0.93466,              0.0093664,              0.0093664,              0.0093664
                     66,                0.85803,                0.52705,                0.91272,                0.91613,                0.92414,                0.94446,                0.69588,                0.94463,                0.61015,                0.94641,              0.0093565,              0.0093565,              0.0093565
                     67,                0.85994,                0.53228,                0.91187,                0.92829,                0.90678,                0.95015,                0.71594,                0.93187,                0.59152,                0.94712,              0.0093466,              0.0093466,              0.0093466
                     68,                0.85452,                0.52458,                0.90229,                0.93519,                0.90443,                0.95336,                0.70483,                0.93332,                0.58775,                0.94676,              0.0093367,              0.0093367,              0.0093367
                     69,                0.87571,                0.53436,                0.91892,                 0.9325,                0.91327,                0.95044,                0.70654,                0.93482,                0.60045,                 0.9488,              0.0093268,              0.0093268,              0.0093268
                     70,                0.86164,                0.51597,                  0.906,                0.92124,                0.88983,                0.94549,                0.71475,                0.90588,                 0.6074,                0.94589,              0.0093169,              0.0093169,              0.0093169
                     71,                0.86354,                0.52558,                 0.9079,                0.90885,                0.90618,                0.95896,                0.71507,                0.92137,                0.61128,                0.94559,               0.009307,               0.009307,               0.009307
                     72,                0.86488,                0.52214,                0.91206,                0.90556,                0.78349,                0.87463,                0.60493,                 1.0715,                  0.732,                 1.0132,              0.0092971,              0.0092971,              0.0092971
